"hospital_name","city","state","county_name","hospital_type","hospital_ownership","emergency_services","beds","trauma","mortality_national_comparison","rating"
"CRESTWOOD MEDICAL CENTER","HUNTSVILLE","AL","MADISON","Acute Care Hospitals","Proprietary","True",147,"LEVEL III","Below the National average","3.0"
"PROVIDENCE ALASKA MEDICAL CENTER","ANCHORAGE","AK","ANCHORAGE","Acute Care Hospitals","Voluntary non-profit - Church","True",371,"LEVEL II","Same as the National average","3.0"
"NEWPORT HOSPITAL","NEWPORT","RI","NEWPORT","Acute Care Hospitals","Voluntary non-profit - Private","True",129,"NOT AVAILABLE","Above the National average","4.0"
"CHICOT MEMORIAL MEDICAL CENTER","LAKE VILLAGE","AR","CHICOT","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Same as the National average","3.0"
"SAN GORGONIO MEMORIAL HOSPITAL","BANNING","CA","RIVERSIDE","Acute Care Hospitals","Government - Hospital District or Authority","True",71,"NOT AVAILABLE","Same as the National average","3.0"
"HOAG MEMORIAL HOSPITAL PRESBYTERIAN","NEWPORT BEACH","CA","ORANGE","Acute Care Hospitals","Voluntary non-profit - Private","True",443,"NOT AVAILABLE","Above the National average","4.0"
"SUTTER ROSEVILLE MEDICAL CENTER","ROSEVILLE","CA","PLACER","Acute Care Hospitals","Voluntary non-profit - Other","True",328,"LEVEL II","Same as the National average","4.0"
"STANFORD HEALTH CARE","STANFORD","CA","SANTA CLARA","Acute Care Hospitals","Voluntary non-profit - Private","True",613,"LEVEL I, LEVEL I PEDIATRIC","Same as the National average","4.0"
"EDEN MEDICAL CENTER","CASTRO VALLEY","CA","ALAMEDA","Acute Care Hospitals","Voluntary non-profit - Other","True",130,"LEVEL II","Same as the National average","3.0"
"ST ANTHONY NORTH HEALTH CAMPUS","WESTMINSTER","CO","BROOMFIELD","Acute Care Hospitals","Voluntary non-profit - Church","True",92,"LEVEL III","Same as the National average","4.0"
"BRISTOL HOSPITAL","BRISTOL","CT","HARTFORD","Acute Care Hospitals","Voluntary non-profit - Private","True",134,"NOT AVAILABLE","Same as the National average","3.0"
"ST FRANCIS HOSPITAL","WILMINGTON","DE","NEW CASTLE","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"ST FRANCIS HOSPITAL","WILMINGTON","DE","NEW CASTLE","Acute Care Hospitals","Voluntary non-profit - Private","True",376,"NOT AVAILABLE","Same as the National average","4.0"
"ST FRANCIS HOSPITAL","WILMINGTON","DE","NEW CASTLE","Acute Care Hospitals","Voluntary non-profit - Private","True",142,"NOT AVAILABLE","Same as the National average","4.0"
"ST FRANCIS HOSPITAL","WILMINGTON","DE","NEW CASTLE","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"TWIN CITIES HOSPITAL","NICEVILLE","FL","OKALOOSA","Acute Care Hospitals","Proprietary","True",65,"NOT AVAILABLE","Same as the National average","4.0"
"KENDALL REGIONAL MEDICAL CENTER","MIAMI","FL","MIAMI-DADE","Acute Care Hospitals","Proprietary","True",417,"LEVEL I","Same as the National average","3.0"
"WELLSTAR PAULDING HOSPITAL","HIRAM","GA","PAULDING","Acute Care Hospitals","Voluntary non-profit - Other","True",83,"NOT AVAILABLE","Same as the National average","3.0"
"MEADOWS REGIONAL MEDICAL CENTER","VIDALIA","GA","TOOMBS","Acute Care Hospitals","Proprietary","True",57,"LEVEL IV","Same as the National average","3.0"
"NORTH HAWAII COMMUNITY HOSPITAL","KAMUELA","HI","HAWAII","Acute Care Hospitals","Voluntary non-profit - Private","True",33,"NOT AVAILABLE","Same as the National average","3.0"
"ALTON MEMORIAL HOSPITAL","ALTON","IL","MADISON","Acute Care Hospitals","Voluntary non-profit - Private","True",253,"NOT AVAILABLE","Same as the National average","3.0"
"MT SINAI HOSPITAL MEDICAL CENTER","CHICAGO","IL","COOK","Acute Care Hospitals","Voluntary non-profit - Private","True",290,"LEVEL I","Same as the National average","1.0"
"OSF SAINT ANTHONY'S HEALTH CENTER","ALTON","IL","MADISON","Acute Care Hospitals","Voluntary non-profit - Church","True",199,"NOT AVAILABLE","Same as the National average","3.0"
"INGALLS MEMORIAL HOSPITAL","HARVEY","IL","COOK","Acute Care Hospitals","Voluntary non-profit - Private","True",344,"NOT AVAILABLE","Above the National average","3.0"
"KISHWAUKEE COMMUNITY HOSPITAL","DEKALB","IL","DEKALB","Acute Care Hospitals","Voluntary non-profit - Private","True",98,"NOT AVAILABLE","Same as the National average","4.0"
"KING'S DAUGHTERS' HEALTH","MADISON","IN","JEFFERSON","Acute Care Hospitals","Voluntary non-profit - Private","True",72,"NOT AVAILABLE","Same as the National average","4.0"
"MERCY MEDICAL CENTER-CENTERVILLE","CENTERVILLE","IA","APPANOOSE","Critical Access Hospitals","Voluntary non-profit - Private","True",45,"LEVEL IV","Same as the National average","3.0"
"ALLEN COUNTY REGIONAL HOSPITAL","IOLA","KS","ALLEN","Critical Access Hospitals","Proprietary","True",25,"LEVEL IV","Same as the National average","2.0"
"SAINT JOSEPH HOSPITAL","LEXINGTON","KY","FAYETTE","Acute Care Hospitals","Voluntary non-profit - Church","True",369,"LEVEL IV","Same as the National average","2.0"
"SAINT JOSEPH HOSPITAL","LEXINGTON","KY","FAYETTE","Acute Care Hospitals","Voluntary non-profit - Church","True",112,"NOT AVAILABLE","Same as the National average","2.0"
"SAINT JOSEPH HOSPITAL","LEXINGTON","KY","FAYETTE","Acute Care Hospitals","Voluntary non-profit - Church","True",433,"NOT AVAILABLE","Same as the National average","2.0"
"HARRISON MEMORIAL HOSPITAL","CYNTHIANA","KY","HARRISON","Acute Care Hospitals","Voluntary non-profit - Other","True",61,"LEVEL IV","Same as the National average","4.0"
"BAPTIST HEALTH CORBIN","CORBIN","KY","KNOX","Acute Care Hospitals","Voluntary non-profit - Private","True",273,"NOT AVAILABLE","Same as the National average","3.0"
"MINDEN MEDICAL CENTER","MINDEN","LA","WEBSTER","Acute Care Hospitals","Proprietary","True",161,"NOT AVAILABLE","Same as the National average","4.0"
"EASTERN MAINE MEDICAL CENTER","BANGOR","ME","PENOBSCOT","Acute Care Hospitals","Voluntary non-profit - Private","True",411,"LEVEL II","Below the National average","2.0"
"WALDO COUNTY GENERAL HOSPITAL","BELFAST","ME","WALDO","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"LAWRENCE GENERAL HOSPITAL","LAWRENCE","MA","ESSEX","Acute Care Hospitals","Voluntary non-profit - Private","True",189,"LEVEL III","Above the National average","2.0"
"EMERSON HOSPITAL","W CONCORD","MA","MIDDLESEX","Acute Care Hospitals","Voluntary non-profit - Private","True",150,"NOT AVAILABLE","Same as the National average","4.0"
"SPECTRUM HEALTH LUDINGTON HOSPITAL","LUDINGTON","MI","MASON","Acute Care Hospitals","Voluntary non-profit - Other","True",49,"NOT AVAILABLE","Same as the National average","3.0"
"HURLEY MEDICAL CENTER","FLINT","MI","GENESEE","Acute Care Hospitals","Voluntary non-profit - Other","True",383,"LEVEL I, LEVEL II PEDIATRIC","Same as the National average","1.0"
"ST JOSEPH MERCY HOSPITAL","ANN ARBOR","MI","WASHTENAW","Acute Care Hospitals","Voluntary non-profit - Church","True",513,"LEVEL II","Above the National average","2.0"
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER","DETROIT","MI","WAYNE","Acute Care Hospitals","Proprietary","True",273,"LEVEL I","Same as the National average","1.0"
"HURON VALLEY-SINAI HOSPITAL","COMMERCE TOWNSHIP","MI","OAKLAND","Acute Care Hospitals","Proprietary","True",153,"NOT AVAILABLE","Same as the National average","3.0"
"MERIT HEALTH NATCHEZ","NATCHEZ","MS","ADAMS","Acute Care Hospitals","Proprietary","True",179,"LEVEL IV","Same as the National average","2.0"
"UNIVERSITY OF MISSOURI HEALTH CARE","COLUMBIA","MO","BOONE","Acute Care Hospitals","Government - State","True",530,"LEVEL I","Below the National average","2.0"
"SAINT FRANCIS MEDICAL CENTER","CAPE GIRARDEAU","MO","CAPE GIRARDEAU","Acute Care Hospitals","Voluntary non-profit - Church","True",-999,"NOT AVAILABLE","Below the National average","3.0"
"SAINT FRANCIS MEDICAL CENTER","CAPE GIRARDEAU","MO","CAPE GIRARDEAU","Acute Care Hospitals","Voluntary non-profit - Church","True",238,"NOT AVAILABLE","Below the National average","3.0"
"SAINT FRANCIS MEDICAL CENTER","CAPE GIRARDEAU","MO","CAPE GIRARDEAU","Acute Care Hospitals","Voluntary non-profit - Church","True",308,"LEVEL III","Below the National average","3.0"
"SAINT FRANCIS MEDICAL CENTER","CAPE GIRARDEAU","MO","CAPE GIRARDEAU","Acute Care Hospitals","Voluntary non-profit - Church","True",631,"LEVEL I, LEVEL I PEDIATRIC","Below the National average","3.0"
"CHI HEALTH GOOD SAMARITAN","KEARNEY","NE","BUFFALO","Acute Care Hospitals","Voluntary non-profit - Church","True",172,"LEVEL II","Same as the National average","3.0"
"JEFFERSON COMMUNITY HEALTH CENTER","FAIRBURY","NE","JEFFERSON","Critical Access Hospitals","Voluntary non-profit - Private","True",17,"NOT AVAILABLE","Not Available","3.0"
"BOONE COUNTY HEALTH CENTER","ALBION","NE","BOONE","Critical Access Hospitals","Government - Local","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"HOWARD COUNTY MEDICAL CENTER","ST PAUL","NE","HOWARD","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"LEVEL IV","Same as the National average","3.0"
"CHERRY COUNTY HOSPITAL","VALENTINE","NE","CHERRY","Critical Access Hospitals","Government - Local","True",25,"LEVEL IV","Not Available","3.0"
"PENDER COMMUNITY HOSPITAL","PENDER","NE","THURSTON","Critical Access Hospitals","Government - Hospital District or Authority","True",21,"NOT AVAILABLE","Same as the National average","4.0"
"COMMUNITY MEDICAL CENTER, INC","FALLS CITY","NE","RICHARDSON","Critical Access Hospitals","Voluntary non-profit - Private","True",24,"LEVEL IV","Same as the National average","4.0"
"BOX BUTTE GENERAL HOSPITAL","ALLIANCE","NE","BOX BUTTE","Critical Access Hospitals","Government - Local","True",25,"LEVEL IV","Same as the National average","3.0"
"LEXINGTON REGIONAL HEALTH CENTER","LEXINGTON","NE","DAWSON","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"LEVEL IV","Same as the National average","3.0"
"COMMUNITY HOSPITAL","MCCOOK","NE","RED WILLOW","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"LEVEL IV","Same as the National average","4.0"
"COMMUNITY HOSPITAL","MCCOOK","NE","RED WILLOW","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"TRF","Same as the National average","4.0"
"COMMUNITY HOSPITAL","MCCOOK","NE","RED WILLOW","Critical Access Hospitals","Voluntary non-profit - Other","True",69,"LEVEL III","Same as the National average","4.0"
"COMMUNITY HOSPITAL","MCCOOK","NE","RED WILLOW","Critical Access Hospitals","Voluntary non-profit - Other","True",-999,"LEVEL III","Same as the National average","4.0"
"COMMUNITY HOSPITAL","MCCOOK","NE","RED WILLOW","Critical Access Hospitals","Voluntary non-profit - Other","True",45,"LEVEL IV","Same as the National average","4.0"
"COMMUNITY HOSPITAL","MCCOOK","NE","RED WILLOW","Critical Access Hospitals","Voluntary non-profit - Other","True",458,"NOT AVAILABLE","Same as the National average","4.0"
"CLARA MAASS MEDICAL CENTER","BELLEVILLE","NJ","ESSEX","Acute Care Hospitals","Voluntary non-profit - Private","True",469,"NOT AVAILABLE","Same as the National average","3.0"
"RIVERVIEW MEDICAL CENTER","RED BANK","NJ","MONMOUTH","Acute Care Hospitals","Proprietary","True",468,"NOT AVAILABLE","Same as the National average","3.0"
"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL","NEW BRUNSWICK","NJ","MIDDLESEX","Acute Care Hospitals","Voluntary non-profit - Private","True",584,"LEVEL I, LEVEL II PEDIATRIC","Same as the National average","2.0"
"CAPITAL HEALTH MEDICAL CENTER - HOPEWELL","PENNINGTON","NJ","MERCER","Acute Care Hospitals","Voluntary non-profit - Private","True",221,"NOT AVAILABLE","Same as the National average","2.0"
"HACKENSACK-UMC MOUNTAINSIDE","MONTCLAIR","NJ","ESSEX","Acute Care Hospitals","Voluntary non-profit - Private","True",347,"NOT AVAILABLE","Same as the National average","2.0"
"NORTHERN NAVAJO MEDICAL CENTER","SHIPROCK","NM","SAN JUAN","Acute Care Hospitals","Government - Federal","True",55,"NOT AVAILABLE","Not Available","2.0"
"MOUNT SINAI HOSPITAL","NEW YORK","NY","NEW YORK","Acute Care Hospitals","Voluntary non-profit - Private","True",1144,"NOT AVAILABLE","Above the National average","3.0"
"AURELIA OSBORN FOX MEMORIAL HOSPITAL","ONEONTA","NY","OTSEGO","Acute Care Hospitals","Voluntary non-profit - Other","True",60,"NOT AVAILABLE","Same as the National average","2.0"
"MARY IMOGENE BASSETT HOSPITAL","COOPERSTOWN","NY","OTSEGO","Acute Care Hospitals","Voluntary non-profit - Private","True",180,"LEVEL III","Same as the National average","2.0"
"GLEN COVE HOSPITAL","GLEN COVE","NY","NASSAU","Acute Care Hospitals","Voluntary non-profit - Private","True",247,"NOT AVAILABLE","Same as the National average","2.0"
"LONG ISLAND JEWISH MEDICAL CENTER","NEW HYDE PARK","NY","QUEENS","Acute Care Hospitals","Voluntary non-profit - Private","True",1025,"NOT AVAILABLE","Above the National average","2.0"
"SOUTH NASSAU COMMUNITIES HOSPITAL","OCEANSIDE","NY","NASSAU","Acute Care Hospitals","Voluntary non-profit - Private","True",455,"LEVEL II","Same as the National average","2.0"
